respondent_id,F1_channel,S1,S2,S3,S4,S5,A1,A2,B1,B2_1순위,B2_2순위,B3,B4,C1,C2,D1_5900,D1_6900,D1_7500,D1_8500,E1,E2,F2,_is_target,_is_student,_screenout,_flag_b4_pass,_flag_straightline,_flag_d1_nonmonotone,_flag_e1_swap_flip,_flag_unprimed_ok,_backend,_B1_why,_B2_why
25,지인 소개,25-29,직장인,1인가구,6+회,없다,먹어봤고 보통이다,①향신료향 부담,3,향신료 부담 없음,5분 완조리,맛 상상 안 됨,그렇다,배달·외식,가끔 산다,산다,산다,안 산다,안 산다,나(T2·매실청),"향 부담 없다는 게 저한테 제일 와닿아서, '진짜 팟타이 그 맛'이라고 하면 오히려 향신료 강할까봐 부담돼요.",,True,False,,True,False,False,False,True,claude-live,고수랑 피시소스 향을 뺐다니 그건 좀 솔깃하네요. 근데 매실청으로 새콤함 낸 팟타이가 무슨 맛일지 상상이 잘 안 돼서 반신반의예요.,"향 부담 없다는 게 저한테는 제일 크고, 혼자 살아서 5분이면 되는 것도 편해서요."
26,직장인 커뮤니티,25-29,직장인,1인가구,1-2회,없다,먹어봤고 좋아한다,③접근성 부족,4,5분 완조리,국산 새우·숙주 등 재료,진짜 팟타이 아닐 것,그렇다,배달·외식,가끔 산다,산다,산다,산다,안 산다,나(T2·매실청),매실청은 제가 아는 맛이라 '향 부담 없다'는 말이 더 와닿고 믿음이 가요.,,True,False,,True,False,False,False,True,claude-live,"매실청으로 새콤함 낸다는 발상이 신선하고, 매실청 맛은 익숙해서 상상이 되네요. 다만 진짜 팟타이 맛이 날지는 좀 궁금해요.",혼자 살면서 팟타이 사 먹으러 나가기 번거로웠는데 5분에 되고 재료도 국산이면 손이 갈 것 같아요.
27,직장인 커뮤니티,30-34,직장인,가족거주,6+회,없다,먹어봤고 좋아한다,③접근성 부족,4,5분 완조리,국산 새우·숙주 등 재료,맛 상상 안 됨,그렇다,배달·외식,가끔 산다,산다,산다,안 산다,안 산다,가(T1·완성도),매실청은 낯설어서 결국 사 먹던 그 맛 그대로라는 말이 제일 안심된다.,,True,False,,True,False,False,False,True,claude-live,팟타이 좋아하는데 집 근처에 파는 데가 마땅찮아서 냉동으로 나오면 반가울 것 같다. 다만 매실청 소스라는 게 맛이 잘 안 그려진다.,퇴근하고 빨리 해먹을 수 있고 재료도 국산이라니 그 두 가지가 제일 끌린다.
28,직장인 커뮤니티,35-39,직장인,가족거주,1-2회,없다,먹어봤고 좋아한다,③접근성 부족,4,5분 완조리,국산 새우·숙주 등 재료,진짜 팟타이 아닐 것,아니다,배달·외식,가끔 산다,산다,산다,안 산다,안 산다,가(T1·완성도),"향 부담은 원래 별로 없어서, 사 먹던 그 맛 그대로라는 쪽이 더 와닿아요.",,True,False,,False,False,False,False,True,claude-live,팟타이 좋아하는데 집에서 해먹긴 애매했거든요. 5분에 된다니까 솔깃하네요.,퇴근하고 빨리 차려먹기 좋고 국산 재료면 애들 주기도 안심돼서요.
34,직장인 커뮤니티,35-39,직장인,2인가구,1-2회,없다,먹어봤고 보통이다,③접근성 부족,3,5분 완조리,국산 새우·숙주 등 재료,냉동품질 불신,그렇다,배달·외식,가끔 산다,산다,산다,안 산다,안 산다,나(T2·매실청),향 부담 없다는 말이 나 같은 사람한테 더 와닿아요.,,True,False,,True,False,False,False,True,claude-live,아이디어는 괜찮은데 냉동으로 그 맛이 날지 잘 모르겠네요. 매실청 얘기는 좀 솔깃하긴 해요.,바쁠 때 5분이면 되고 국산 재료라니 그나마 믿음이 가요.
37,지인 소개,35-39,직장인,2인가구,6+회,없다,먹어봤고 보통이다,③접근성 부족,3,5분 완조리,국산 새우·숙주 등 재료,냉동품질 불신,그렇다,배달·외식,가끔 산다,산다,산다,안 산다,안 산다,나(T2·매실청),매실청은 제가 익숙한 맛이라 어떤 새콤함인지 상상이 돼서 더 믿음이 가요.,,True,False,,True,False,False,False,True,claude-live,매실청으로 새콤함 낸다는 게 그림이 좀 그려지긴 하네요. 근데 냉동 쌀면이 눅눅하진 않을까 싶어서 확 끌리진 않아요.,"퇴근하고 5분 만에 끝나는 게 제일 크고, 국산 재료라니 그나마 믿음이 가요."
38,직장인 커뮤니티,30-34,직장인,1인가구,3-5회,없다,먹어봤고 보통이다,③접근성 부족,3,5분 완조리,국산 새우·숙주 등 재료,맛 상상 안 됨,그렇다,배달·외식,가끔 산다,산다,산다,안 산다,안 산다,가(T1·완성도),향 부담이 원래 별로 없어서 매실청보다는 5분에 사 먹던 그 맛이 난다는 게 더 끌린다.,,True,False,,True,False,False,False,True,claude-live,냉동인데 5분이면 되는 건 편해서 나쁘진 않네. 근데 매실청으로 팟타이 맛이 난다는 게 잘 그려지진 않아.,퇴근하고 간단히 데워 먹기 좋고 재료가 국산이라니 그건 좀 안심된다.
39,직장인 커뮤니티,25-29,직장인,가족거주,3-5회,있다,먹어봤고 보통이다,①향신료향 부담,4,향신료 부담 없음,5분 완조리,맛 상상 안 됨,그렇다,배달·외식,가끔 산다,산다,산다,안 산다,안 산다,나(T2·매실청),나한테 제일 큰 걸림돌이 향 부담이라 그걸 콕 집어주는 문구가 더 마음이 놓여요.,,True,False,,True,False,False,False,True,claude-live,고수나 피시소스 향이 부담이었는데 매실청으로 새콤함을 냈다니까 이건 나도 편하게 먹겠다 싶네요. 다만 매실청 팟타이 맛이 잘 그려지진 않아요.,"향 때문에 동남아 음식을 피했는데 그 부담을 덜었다니 제일 끌리고, 5분이면 되는 것도 직장인한테 좋아요."
41,직장인 커뮤니티,25-29,직장인,1인가구,3-5회,없다,먹어봤고 좋아한다,③접근성 부족,3,5분 완조리,향신료 부담 없음,맛 상상 안 됨,그렇다,배달·외식,가끔 산다,산다,산다,안 산다,안 산다,나(T2·매실청),"매실청은 익숙해서 향 부담 없다는 말이 더 믿음이 가고, '그 맛 그대로'는 오히려 진짜 팟타이랑 비교돼서 의심스러워요.",,True,False,,True,False,False,False,True,claude-live,"매실청으로 새콤함 낸다는 발상은 나쁘지 않은데, 냉동 쌀면이 팟타이 맛을 제대로 낼지는 솔직히 잘 모르겠어요. 일단 궁금하긴 해요.",혼자 사니까 빨리 되고 향 세지 않다는 점이 제일 끌려요.
43,직장인 커뮤니티,35-39,직장인,2인가구,6+회,있다,먹어봤고 좋아한다,①향신료향 부담,3,향신료 부담 없음,5분 완조리,맛 상상 안 됨,아니다,배달·외식,가끔 산다,산다,산다,안 산다,안 산다,나(T2·매실청),향 부담이 내 제일 큰 걸림돌이라 매실청으로 잡았다는 말이 나한테는 더 와닿아요.,,True,False,,False,False,False,False,True,claude-live,향 부담 덜었다니 나 같은 사람한테 솔직히 솔깃하긴 해요. 근데 매실청으로 새콤함 낸 게 진짜 팟타이 맛이 날지는 좀 상상이 안 되네요.,"고수랑 피시소스 향 때문에 늘 망설였는데 그 부담을 덜었다는 게 제일 끌리고, 5분이면 퇴근하고 해 먹기 편하니까요."
7,직장인 커뮤니티,40+,대학원생,2인가구,6+회,없다,먹어봤고 보통이다,③접근성 부족,4,향신료 부담 없음,5분 완조리,진짜 팟타이 아닐 것,그렇다,배달·외식,가끔 산다,산다,산다,안 산다,안 산다,나(T2·매실청),"향 부담이 내가 동남아 음식을 잘 안 먹던 이유라, 그걸 매실청으로 잡았다는 말이 더 와닿는다.",,False,True,40+,True,False,False,False,True,claude-live,향 부담 없이 새콤하게 풀었다니 나한테는 딱 맞겠다 싶다. 다만 매실청으로 낸 맛이 실제로 어떨지는 좀 궁금하다.,"고수랑 피시소스 향이 부담이라 그걸 덜었다는 점이 제일 끌리고, 바쁠 때 5분이면 되는 것도 좋다."
11,지인 소개,25-29,대학원생,가족거주,6+회,없다,먹어봤고 좋아한다,③접근성 부족,4,5분 완조리,국산 새우·숙주 등 재료,진짜 팟타이 아닐 것,그렇다,배달·외식,가끔 산다,산다,산다,산다,안 산다,나(T2·매실청),타마린드 대신 매실청이라는 게 제일 궁금했던 부분이라 그걸 콕 집어주니 오히려 맛이 상상되고 향 부담 걱정도 덜어진다.,,False,True,,True,False,False,False,True,claude-live,팟타이 좋아하는데 집에서 5분이면 되는 건 솔직히 끌린다. 다만 매실청으로 바꿨다니 원래 그 새콤달콤한 맛이 날지는 좀 궁금하다.,대학원생이라 시간 없는데 5분에 되고 재료도 국산 새우라니 믿음이 간다.
12,대학생 커뮤니티,19-24,대학원생,가족거주,0회,없다,먹어봤고 좋아한다,③접근성 부족,3,매실청의 새콤한 맛,5분 완조리,냉동품질 불신,그렇다,배달·외식,가끔 산다,산다,산다,안 산다,안 산다,나(T2·매실청),매실청이 익숙하고 그 새콤함이 어떤 맛일지 바로 그려져서 나쪽이 더 끌려요.,,False,True,19-24;구매0회,True,False,False,False,True,claude-live,"매실청으로 새콤함 낸다는 게 익숙해서 맛은 상상이 되는데, 냉동 쌀면이 눅눅하지 않을지가 좀 걸려요. 그냥 무난해 보이는 정도.","매실청은 집에서도 자주 먹어서 그 새콤한 맛이 팟타이랑 어울릴지 궁금하고, 대학원 다니면서 5분이면 되는 건 확실히 편하니까요."
17,대학생 커뮤니티,19-24,기타,가족거주,1-2회,없다,먹어봤고 보통이다,③접근성 부족,3,향신료 부담 없음,5분 완조리,맛 상상 안 됨,그렇다,배달·외식,가끔 산다,산다,산다,안 산다,안 산다,나(T2·매실청),향 부담 없다는 말이 나한테 제일 와닿아서요.,,False,True,19-24,True,False,False,False,True,claude-live,아이디어는 신선한데 매실청이 팟타이랑 어울릴지 잘 상상이 안 돼요. 그래도 향신료 부담 없다니까 나 같은 사람한테는 좀 끌리긴 해요.,고수나 피시소스 향이 부담스러운데 그걸 덜었다니 그 점이 제일 마음에 들어요.
