respondent_id,F1_channel,S1,S2,S3,S4,S5,A1,A2,B1,B2_1순위,B2_2순위,B3,B4,C1,C2,D1_5900,D1_6900,D1_7500,D1_8500,E1,E2,F2,_is_target,_is_student,_screenout,_flag_b4_pass,_flag_straightline,_flag_d1_nonmonotone,_flag_e1_swap_flip,_flag_unprimed_ok,_flag_structural_inconsistency,_backend,_B1_why,_B2_why
10,지인 소개,40+,직장인,2인가구,6+회,없다,먹어봤고 보통이다,③접근성 부족,3,5분 완조리,향신료 부담 없음,맛 상상 안 됨,그렇다,냉동/밀키트,가끔 산다,산다,산다,안 산다,안 산다,나(T2·매실청),"'진짜 팟타이'라고 하면 오히려 못 믿겠고, 향 부담을 줄였다는 말이 더 현실적으로 와닿아서요.",,False,False,40+,True,True,False,False,True,False,claude-live,매실청으로 새콤함을 낸다니 아이디어는 신선한데 맛이 잘 그려지지 않아요. 나쁘진 않을 것 같지만 확 끌리진 않네요.,퇴근하고 빨리 한 끼 때우기 좋고 향 부담이 적다니 그나마 손이 갈 것 같아서요.
11,지인 소개,25-29,대학원생,가족거주,6+회,없다,먹어봤고 좋아한다,③접근성 부족,4,5분 완조리,국산 새우·숙주 등 재료,진짜 팟타이 아닐 것,그렇다,배달·외식,가끔 산다,산다,산다,산다,안 산다,나(T2·매실청),"매실청으로 향 부담을 잡았다는 게 이 제품만의 차별점 같아서 더 궁금하고, 그래도 진짜 팟타이라는 점도 짚어줘서 안심됩니다.",,False,True,,True,False,False,False,True,False,claude-live,평소 팟타이 좋아하는데 집에서 5분에 되는 냉동이라니 솔깃하네요. 다만 매실청으로 새콤함을 냈다는 게 진짜 팟타이 맛이 날지는 좀 궁금합니다.,먹고 싶어도 파는 데가 마땅치 않았는데 집에서 바로 되고 재료도 국산이라 믿음이 갑니다.
12,대학생 커뮤니티,19-24,대학원생,가족거주,0회,없다,먹어봤고 보통이다,③접근성 부족,3,5분 완조리,향신료 부담 없음,맛 상상 안 됨,그렇다,안 먹거나 참는다,기존 방식 유지,산다,산다,안 산다,안 산다,나(T2·매실청),매실청은 익숙해서 그 새콤함이 어떤 맛일지 바로 그려지니까 더 끌려요.,,False,True,19-24;구매0회,True,False,False,False,True,False,claude-live,"매실청으로 새콤함 낸다는 건 신기하긴 한데, 이게 팟타이 맛이 날지는 솔직히 상상이 잘 안 돼요. 나쁘진 않아 보여요.",향 부담 없이 5분이면 되니까 부담 없이 한 번 먹어볼 만하다는 생각이 들어요.
13,지인 소개,40+,직장인,가족거주,3-5회,없다,먹어봤고 좋아한다,③접근성 부족,2,5분 완조리,국산 새우·숙주 등 재료,양(300g) 부족,그렇다,냉동/밀키트,가끔 산다,산다,산다,안 산다,안 산다,나(T2·매실청),향 부담을 어떻게 잡았는지가 궁금하던 참이라 매실청 얘기가 더 구체적으로 와닿네요.,,False,False,40+,True,False,False,False,True,False,claude-live,팟타이 좋아하는데 집 근처에 파는 데가 마땅찮아서 이런 게 있으면 편하겠다 싶네요. 다만 매실청으로 냈다는 새콤함이 실제로 그 맛일지는 좀 반신반의합니다.,"퇴근하고 딴거 안 사도 5분이면 되니 그게 제일 끌리고, 재료가 국산이라니 좀 믿음이 갑니다."
14,직장인 커뮤니티,30-34,직장인,가족거주,1-2회,없다,먹어봤고 보통이다,③접근성 부족,2,향신료 부담 없음,5분 완조리,맛 상상 안 됨,그렇다,배달·외식,기존 방식 유지,산다,산다,안 산다,안 산다,나(T2·매실청),향 부담 없다는 말이 저한테는 제일 와닿아서요.,,True,False,,True,False,False,False,True,False,claude-live,매실청으로 새콤함 낸다니 향 부담 없이 먹기 편할 것 같긴 해요. 근데 냉동 쌀면이 실제로 맛이 어떨지는 잘 상상이 안 되네요.,향 부담 없이 새콤하게 먹을 수 있고 5분이면 되니 평일에 부담 없이 먹기 좋겠어요.
15,직장인 커뮤니티,30-34,직장인,가족거주,1-2회,없다,먹어봤고 좋아한다,③접근성 부족,4,향신료 부담 없음,5분 완조리,양(300g) 부족,그렇다,냉동/밀키트,가끔 산다,산다,산다,안 산다,안 산다,나(T2·매실청),향 부담 없다는 게 나한테는 사 먹던 맛보다 더 중요한 포인트라서요.,,True,False,,True,False,False,False,True,False,claude-live,향 부담 없이 새콤하게 잡았다니 나한테는 딱 맞겠다 싶어요. 다만 매실청으로 팟타이 맛이 제대로 날지는 좀 궁금하네요.,고수나 피시소스 향 부담 없이 집에서 5분이면 되는 게 제일 끌려요.
16,직장인 커뮤니티,35-39,직장인,가족거주,1-2회,없다,먹어봤고 보통이다,⑤단순 비선호,4,향신료 부담 없음,매실청의 새콤한 맛,진짜 팟타이 아닐 것,그렇다,안 먹거나 참는다,가끔 산다,산다,산다,안 산다,안 산다,나(T2·매실청),향 부담이 제일 걱정이었는데 매실청으로 잡았다니까 그 문구가 더 와닿아요.,,True,False,,True,False,False,False,True,False,claude-live,매실청으로 새콤함을 냈다니 향 부담은 없을 것 같아 눈길은 가네요. 근데 냉동 쌀면이 맛이 어떨지는 좀 반신반의합니다.,고수나 피시소스 향이 부담이었는데 매실청이면 익숙한 새콤함이라 손이 갈 것 같아요.
17,대학생 커뮤니티,19-24,기타,가족거주,1-2회,없다,먹어봤고 보통이다,②낯선 소스·재료,4,5분 완조리,국산 새우·숙주 등 재료,진짜 팟타이 아닐 것,그렇다,배달·외식,꼭 산다,산다,안 산다,안 산다,안 산다,가(T1·완성도),"매실청 얘기는 오히려 진짜 맛일까 의심돼서, 사 먹던 그 맛 그대로라는 쪽이 더 안심돼요.",,False,True,19-24,True,False,False,False,True,False,claude-live,"5분이면 되는 건 편해 보이긴 한데, 타마린드 대신 매실청이라니까 진짜 팟타이 맛이 날지 상상이 잘 안 돼요. 딱 무난해 보이는 정도.","귀찮게 재료 안 사고 5분이면 되고, 새우나 숙주가 국산이라니 그나마 믿음이 좀 가요."
18,지인 소개,35-39,자영업·프리랜서,1인가구,6+회,없다,먹어봤고 좋아한다,⑥지금도 잘 먹음,3,5분 완조리,매실청의 새콤한 맛,진짜 팟타이 아닐 것,그렇다,이런 맛 안 찾음,기존 방식 유지,산다,산다,산다,안 산다,나(T2·매실청),타마린드 대신 매실청이라는 점이 제일 걸렸는데 그걸 정면으로 설명해주니 오히려 믿음이 간다.,,True,False,,True,False,False,False,True,False,claude-live,"팟타이 자주 먹는 편이라 반갑긴 한데, 타마린드 대신 매실청이면 맛이 좀 달라지지 않을까 싶긴 하다. 그래도 5분이면 되고 새콤한 컨셉은 끌린다.","혼자 사는데 팟타이 해먹기 번거로우니 5분이면 되는 게 제일 크고, 매실청 새콤함도 궁금하다."
19,대학생 커뮤니티,25-29,직장인,가족거주,1-2회,없다,먹어봤고 좋아한다,③접근성 부족,5,5분 완조리,국산 새우·숙주 등 재료,맛 상상 안 됨,그렇다,배달·외식,기존 방식 유지,산다,산다,안 산다,안 산다,가(T1·완성도),매실청 얘기보다 사 먹던 그 맛 그대로라는 게 맛이 상상돼서 더 안심돼요.,,False,True,,True,False,False,False,True,False,claude-live,아이디어는 신선한데 매실청 소스라는 게 팟타이 맛이랑 어떻게 어울릴지 잘 상상이 안 돼요. 그래도 5분이면 되고 재료 국산이라니 한 번쯤 궁금하긴 하네요.,평소 팟타이 먹고 싶어도 파는 데가 마땅치 않은데 집에서 5분이면 되고 재료도 믿을 만해 보여서요.
20,지인 소개,35-39,자영업·프리랜서,가족거주,3-5회,있다,먹어봤고 좋아한다,③접근성 부족,1,5분 완조리,국산 새우·숙주 등 재료,진짜 팟타이 아닐 것,그렇다,안 먹거나 참는다,꼭 산다,산다,산다,안 산다,안 산다,가(T1·완성도),"매실청이라 진짜 맛이 날까 걱정되던 참이라, 사 먹던 그 맛 그대로라는 말이 그 걱정을 눌러줘서요.",,True,False,,True,False,False,False,True,False,claude-live,여행 때 먹던 팟타이를 집에서 5분에 먹을 수 있다니 솔깃하네요. 다만 타마린드를 매실청으로 바꿨다니 그 맛이 제대로 날지는 좀 반신반의합니다.,일하다 보면 시간이 없어서 5분에 끝나고 재료도 국산이면 손이 갈 것 같아요.
21,직장인 커뮤니티,40+,직장인,1인가구,1-2회,없다,먹어봤고 보통이다,③접근성 부족,4,향신료 부담 없음,5분 완조리,진짜 팟타이 아닐 것,그렇다,안 먹거나 참는다,기존 방식 유지,산다,산다,안 산다,안 산다,나(T2·매실청),향 부담 없다는 말이 나한테는 제일 걸리는 부분이라 그게 해결됐다니 더 끌린다.,,False,False,40+,True,False,False,False,True,False,claude-live,아이디어는 괜찮은데 매실청으로 팟타이 맛이 날지 상상이 잘 안 된다. 그냥 새콤한 국수 되는 거 아닌가 싶다.,"고수나 피시소스 향이 부담스러운데 그걸 덜었다니 그나마 손이 갈 것 같고, 혼자 살아서 빨리 되는 게 편하다."
22,직장인 커뮤니티,35-39,직장인,가족거주,1-2회,없다,먹어봤고 좋아한다,③접근성 부족,3,향신료 부담 없음,5분 완조리,양(300g) 부족,그렇다,직접 만든다,가끔 산다,산다,산다,안 산다,안 산다,나(T2·매실청),매실청으로 향 잡았다는 게 이 제품만의 차별점 같아서 더 궁금해져요.,,True,False,,True,False,False,False,True,False,claude-live,매실청으로 새콤함 낸다는 게 우리 입맛에 맞을 것 같아 눈이 가네요. 고수 향 부담 덜었다니 가족이랑 같이 먹기도 편할 듯.,향 부담 없이 집에서 빨리 해먹을 수 있다는 점이 제일 끌려요.
23,지인 소개,30-34,직장인,가족거주,1-2회,있다,먹어봤고 좋아한다,③접근성 부족,2,5분 완조리,국산 새우·숙주 등 재료,맛 상상 안 됨,그렇다,배달·외식,꼭 산다,산다,산다,안 산다,안 산다,가(T1·완성도),매실청보다는 사 먹던 그 맛 그대로라는 말이 더 믿음이 가고 끌려요.,,True,False,,True,False,False,False,True,False,claude-live,"팟타이 좋아해서 눈길은 가는데, 매실청 소스라니까 이게 내가 아는 그 새콤한 맛이 날지 상상이 잘 안 돼요. 냉동 쌀면도 좀 미덥지 않고요.",집에서 팟타이 해먹기는 재료 사기 번거로운데 5분이면 되고 새우 숙주까지 들었다니 그건 편하고 괜찮네요.
24,대학생 커뮤니티,19-24,대학원생,가족거주,1-2회,있다,먹어봤고 좋아한다,③접근성 부족,3,5분 완조리,외식 대비 가성비,양(300g) 부족,그렇다,냉동/밀키트,꼭 산다,산다,산다,안 산다,안 산다,가(T1·완성도),향 부담은 원래 없는 편이라 매실청 얘기보다 5분에 사먹던 맛 난다는 게 더 와닿아요.,,False,True,19-24,True,False,False,False,True,False,claude-live,팟타이 좋아하는데 집에서 해먹긴 귀찮아서 5분에 된다니까 눈길이 가네요. 다만 매실청 소스는 맛이 잘 상상이 안 돼요.,과제하다 급할 때 5분에 한 끼 되면서 배달보다 싸면 그게 제일 끌려요.
25,지인 소개,25-29,직장인,1인가구,6+회,없다,먹어봤고 보통이다,①향신료향 부담,4,향신료 부담 없음,5분 완조리,맛 상상 안 됨,그렇다,안 먹거나 참는다,기존 방식 유지,산다,산다,안 산다,안 산다,나(T2·매실청),"어차피 나는 향 부담 때문에 동남아 음식 잘 안 먹는 편이라, 그 부담 없앴다는 말이 제일 와닿아요.",,True,False,,True,False,False,False,True,False,claude-live,"매실청으로 향 잡았다는 건 나한테 딱이긴 한데, 냉동으로 그 맛이 살까 싶어서 반신반의예요. 나쁘진 않은데 확 끌리진 않네요.","고수나 피시소스 향 부담이 없다니 그게 제일 마음에 들고, 5분이면 되니까 혼자 먹기 편해 보여요."
26,직장인 커뮤니티,25-29,직장인,1인가구,3-5회,없다,먹어봤고 좋아한다,③접근성 부족,2,매실청의 새콤한 맛,5분 완조리,진짜 팟타이 아닐 것,그렇다,직접 만든다,가끔 산다,산다,산다,산다,안 산다,나(T2·매실청),매실청은 제가 잘 아는 맛이라 향 부담 없다는 말이 더 믿음이 가고 궁금해져요.,,True,False,,True,False,False,False,True,False,claude-live,매실청으로 새콤함을 냈다니 어떤 맛일지 대충 그려져서 반갑네요. 다만 진짜 팟타이 맛이 날지는 좀 반신반의예요.,"매실청은 워낙 익숙한 맛이라 실패 확률이 낮아 보이고, 혼자 사는데 5분이면 끝나는 것도 큰 장점이에요."
27,직장인 커뮤니티,30-34,직장인,가족거주,3-5회,없다,먹어봤고 좋아한다,⑥지금도 잘 먹음,3,5분 완조리,국산 새우·숙주 등 재료,맛 상상 안 됨,그렇다,냉동/밀키트,가끔 산다,산다,산다,산다,안 산다,가(T1·완성도),사 먹던 그 맛 그대로라는 게 매실청 강조보다 더 믿음이 가요.,,True,False,,True,False,False,False,True,False,claude-live,팟타이 좋아하는데 5분이면 된다니 솔깃하네요. 다만 매실청으로 새콤함 낸 맛은 어떨지 잘 상상이 안 가요.,퇴근하고 빨리 해먹기 좋고 재료도 국산이라 믿음이 가요.
28,직장인 커뮤니티,35-39,직장인,가족거주,1-2회,없다,먹어봤고 좋아한다,③접근성 부족,3,5분 완조리,향신료 부담 없음,진짜 팟타이 아닐 것,아니다,냉동/밀키트,기존 방식 유지,산다,산다,안 산다,안 산다,나(T2·매실청),매실청으로 향 부담 덜었다는 게 궁금하고 우리 입맛에 맞을 것 같은 느낌이 들어서요.,,True,False,,False,False,False,False,True,False,claude-live,팟타이 좋아하는데 집에서 해먹긴 번거로워서 냉동으로 나오면 반가울 것 같아요. 다만 매실청으로 새콤함 낸다는 게 진짜 그 맛이 날지는 좀 궁금하네요.,"퇴근하고 빨리 한 끼 때우기 좋고, 향신료 부담 없다니 가족이랑 같이 먹기도 편할 것 같아서요."
29,대학생 커뮤니티,19-24,대학원생,2인가구,1-2회,없다,먹어봤고 좋아한다,⑥지금도 잘 먹음,5,매실청의 새콤한 맛,5분 완조리,가격 걱정,그렇다,이런 맛 안 찾음,가끔 산다,산다,산다,안 산다,안 산다,나(T2·매실청),매실청이 익숙하고 향 부담 없다는 게 나한테 제일 와닿아서요.,,False,True,19-24,True,False,False,False,True,False,claude-live,팟타이 자주 먹는데 매실청으로 새콤함 낸다는 게 신기하고 끌리긴 해요. 근데 냉동 쌀면이 눅눅하지 않을까 살짝 의심은 들어요.,"매실청은 익숙한 맛이라 신뢰가 가고, 5분이면 되니까 혼자 밥 해먹기 편할 것 같아요."
30,대학생 커뮤니티,19-24,대학원생,1인가구,3-5회,있다,먹어봤고 좋아한다,③접근성 부족,4,5분 완조리,국산 새우·숙주 등 재료,진짜 팟타이 아닐 것,그렇다,배달·외식,가끔 산다,산다,산다,산다,안 산다,나(T2·매실청),"어차피 진짜 팟타이 맞냐가 제일 걸리는데, 매실청으로 새콤함 잡았다고 콕 집어주니까 그나마 어떤 맛일지 상상이 돼서요.",,False,True,19-24,True,False,False,False,True,False,claude-live,"여행 때 먹던 팟타이는 좋았는데, 타마린드를 매실청으로 바꿨다니까 맛이 잘 그려지지가 않네요. 그냥저냥 궁금한 정도.",혼자 살면 숙주나 부추 따로 사두기 애매한데 5분에 되고 재료까지 들어있으면 편하긴 하죠.
31,직장인 커뮤니티,40+,직장인,1인가구,0회,있다,먹어봤고 좋아한다,⑥지금도 잘 먹음,2,외식 대비 가성비,5분 완조리,양(300g) 부족,아니다,냉동/밀키트,기존 방식 유지,산다,산다,안 산다,안 산다,나(T2·매실청),'진짜 팟타이'라고 우기는 것보다 매실청으로 향 부담 덜었다는 게 더 솔직하고 궁금해서요.,,False,False,40+;구매0회,False,False,False,False,True,False,claude-live,"팟타이 좋아해서 눈길은 가는데, 매실청으로 냈다니 맛이 딱 상상이 안 되네요. 냉동인 것도 좀 걸리고.",밖에서 사 먹는 것보다 싸면서 5분이면 되니까 혼자 사는 입장에선 그게 제일 끌려요.
32,대학생 커뮤니티,19-24,직장인,가족거주,0회,없다,먹어봤고 보통이다,③접근성 부족,3,향신료 부담 없음,5분 완조리,진짜 팟타이 아닐 것,아니다,배달·외식,기존 방식 유지,산다,안 산다,안 산다,안 산다,나(T2·매실청),향 부담 없다는 점이 저한테는 실제로 사고 싶게 만드는 포인트라서요.,,False,True,19-24;구매0회,False,False,False,False,True,False,claude-live,아이디어는 괜찮은데 매실청 소스가 진짜 팟타이 맛이 날지 상상이 잘 안 돼요. 향 부담 덜었다는 건 좋네요.,고수나 피시소스 향에 부담 있는 편이라 그 부분을 덜었다는 게 제일 끌려요.
33,직장인 커뮤니티,19-24,기타,1인가구,3-5회,없다,먹어봤고 좋아한다,①향신료향 부담,3,향신료 부담 없음,5분 완조리,양(300g) 부족,그렇다,배달·외식,가끔 산다,산다,산다,산다,안 산다,나(T2·매실청),향 부담이 내 제일 큰 걸림돌이라 그걸 콕 집어준 문구가 더 와닿는다.,,False,True,19-24,True,False,False,False,True,False,claude-live,향 부담을 매실청으로 덜었다는 게 딱 내 얘기라 솔깃하다. 근데 매실청으로 진짜 팟타이 맛이 날지는 좀 반신반의.,"고수·피시소스 향이 부담이라 그걸 뺐다는 게 제일 크고, 혼자 살아서 5분에 되는 것도 좋다."
34,직장인 커뮤니티,35-39,직장인,2인가구,1-2회,없다,먹어봤고 보통이다,⑤단순 비선호,2,5분 완조리,국산 새우·숙주 등 재료,맛 상상 안 됨,그렇다,안 먹거나 참는다,가끔 산다,산다,산다,안 산다,안 산다,나(T2·매실청),매실청으로 새콤함을 낸다는 게 제일 궁금하고 걱정되던 부분이라 그걸 짚어주니 조금 더 믿음이 가요.,,True,False,,True,False,False,False,True,False,claude-live,아이디어는 신선한데 매실청 팟타이라니 맛이 잘 그려지진 않네요. 냉동인 것도 좀 걸리고요.,퇴근하고 5분이면 되고 재료가 국산이라면 그나마 믿고 손이 갈 것 같아요.
35,직장인 커뮤니티,25-29,직장인,2인가구,0회,없다,먹어봤고 보통이다,③접근성 부족,2,5분 완조리,향신료 부담 없음,맛 상상 안 됨,그렇다,냉동/밀키트,가끔 산다,산다,산다,안 산다,안 산다,나(T2·매실청),"향 부담 없다는 게 저한테는 더 안심되고, 매실청이라는 게 궁금하게 만들어요.",,False,False,구매0회,True,False,False,False,True,False,claude-live,"매실청으로 새콤함 낸다는 건 신선하긴 한데, 이게 팟타이 맛이 날지는 잘 상상이 안 되네요. 나쁘진 않은데 확 끌리진 않아요.",집에서 해먹기 귀찮은 음식인데 5분에 되고 향 부담 없다니 그 점은 편해 보여요.
36,대학생 커뮤니티,30-34,대학원생,기숙사,1-2회,있다,먹어봤고 좋아한다,③접근성 부족,4,5분 완조리,향신료 부담 없음,맛 상상 안 됨,그렇다,배달·외식,가끔 산다,산다,산다,안 산다,안 산다,나(T2·매실청),"어차피 진짜 그맛 그대로는 못 믿겠고, 매실청 얘기가 이 제품만의 차별점이라 더 궁금해진다.",,False,True,,True,False,False,False,True,False,claude-live,"매실청으로 새콤함 낸다는 발상은 신기하긴 한데, 팟타이를 매실청으로 한다니 맛이 잘 상상이 안 된다. 냉동이라 면 식감이 어떨지도 좀 걱정.","기숙사에서 재료 사다 만들긴 귀찮으니 5분에 되는 게 제일 크고, 향 부담 덜었다는 것도 나쁘지 않다."
37,지인 소개,35-39,직장인,2인가구,6+회,없다,먹어봤고 좋아한다,⑥지금도 잘 먹음,4,매실청의 새콤한 맛,외식 대비 가성비,진짜 팟타이 아닐 것,그렇다,냉동/밀키트,꼭 산다,산다,산다,안 산다,안 산다,가(T1·완성도),평소 사 먹던 팟타이 맛 그대로라는 말이 매실청 얘기보다 진짜 팟타이일지 확신을 줘서 더 끌린다.,,True,False,,True,False,False,False,True,False,claude-live,"팟타이 자주 먹는 편이라 반갑긴 한데, 타마린드 대신 매실청이라니 맛이 좀 달라지겠다 싶다. 매실청은 익숙해서 새콤함은 오히려 기대된다.","매실청 새콤함이 낯설지 않아 끌리고, 사 먹는 것보다 싸면 집에서 해결하기 좋다."
38,직장인 커뮤니티,30-34,직장인,1인가구,3-5회,없다,먹어봤고 좋아한다,③접근성 부족,2,5분 완조리,국산 새우·숙주 등 재료,진짜 팟타이 아닐 것,그렇다,이런 맛 안 찾음,기존 방식 유지,산다,산다,안 산다,안 산다,가(T1·완성도),매실청보다는 사 먹던 그 맛 그대로라는 말이 더 믿음이 가고 끌려요.,,True,False,,True,False,False,False,True,False,claude-live,팟타이 좋아하는데 냉동으로 5분이면 되는 건 편해 보이긴 해요. 근데 매실청으로 새콤함을 냈다는 게 진짜 그 맛이 날지 상상이 잘 안 돼요.,혼자 살면 팟타이 재료 사다 만들 일이 없어서 5분에 끝나고 재료도 괜찮으면 손이 갈 것 같아요.
